index,period,frame_start,frame_end,minute,second,t_min,duration,team,team_name,phase_type,third_start,third_end,x_start,x_end,pen_area_end,is_shot,is_goal,xt_start,xt_end,xt_gain,signed,moment
136,1,14874,15042,24,46,24.767,16.8,Home,Brisbane,finish,middle_third,attacking_third,5.11,46.38,True,False,False,0.00683,0.00178,-0.00505,-0.00505,
137,1,15042,15100,25,3,25.05,5.8,Away,Perth,build_up,defensive_third,defensive_third,-46.03,-20.12,False,False,False,0.003,0.00341,0.00041,-0.00041,
138,1,15100,15191,25,9,25.15,9.1,Away,Perth,create,defensive_third,attacking_third,-19.75,22.23,False,False,False,0.00341,0.01567,0.01226,-0.01226,
139,1,15191,15199,25,18,25.3,0.8,Away,Perth,finish,attacking_third,attacking_third,22.53,22.83,False,False,False,0.02228,0.0153,-0.00698,0.00698,
140,1,15199,15241,25,18,25.3,4.2,Home,Brisbane,chaotic,defensive_third,defensive_third,-22.77,-20.85,False,False,False,0.02234,0.01066,-0.01168,-0.01168,
141,1,17004,17018,28,19,28.317,1.4,Home,Brisbane,chaotic,middle_third,middle_third,11.13,14.0,False,False,False,0.00447,0.0039,-0.00057,-0.00057,
142,1,17018,17026,28,20,28.333,0.8,Away,Perth,chaotic,middle_third,middle_third,-13.5,-6.88,False,False,False,0.00283,0.00346,0.00063,-0.00063,
143,1,17184,17203,28,37,28.617,1.9,Home,Brisbane,finish,middle_third,middle_third,6.65,5.3,False,False,False,0.00545,0.0039,-0.00155,-0.00155,
144,1,17203,17228,28,39,28.65,2.5,Home,Brisbane,create,middle_third,attacking_third,5.1,20.33,False,False,False,0.0039,0.00547,0.00157,0.00157,
145,1,17228,17277,28,41,28.683,4.9,Away,Perth,chaotic,defensive_third,attacking_third,-20.44,18.52,False,False,False,0.00345,0.01222,0.00877,-0.00877,
147,1,17279,17421,28,46,28.767,14.2,Home,Brisbane,build_up,defensive_third,defensive_third,-20.48,-31.93,False,True,False,0.01177,0.03209,0.02033,0.02033,chance
146,1,17277,17279,28,46,28.767,0.2,Home,Brisbane,create,defensive_third,defensive_third,-19.19,-19.86,False,True,False,0.01784,0.01177,-0.00608,-0.00608,chance
148,1,17421,17453,29,1,29.017,3.2,Home,Brisbane,direct,defensive_third,middle_third,-30.84,13.95,False,True,False,0.02266,0.00497,-0.01769,-0.01769,chance
149,1,17453,17489,29,4,29.067,3.6,Home,Brisbane,create,middle_third,attacking_third,14.14,21.51,False,True,False,0.00431,0.00431,-1e-05,-1e-05,chance
150,1,17489,17532,29,7,29.117,4.3,Home,Brisbane,finish,attacking_third,attacking_third,21.78,44.46,True,True,False,0.00431,0.00225,-0.00205,-0.00205,chance
151,1,17532,17584,29,12,29.2,5.2,Away,Perth,chaotic,defensive_third,middle_third,-44.85,-17.18,False,False,False,0.00195,0.00478,0.00283,-0.00283,
152,1,17584,17982,29,17,29.283,39.8,Home,Brisbane,finish,middle_third,attacking_third,16.92,48.72,True,True,False,0.00417,0.00165,-0.00253,-0.00253,chance
